library name,text,rodata,data,bss,code,flash,ram
lib\libhal.a,15300,2936,116,705,18236,18352,821
lib\libkernel.a,22060,1133,14,76470,23193,23207,76484
lib\libaudio.a,12256,2405,48,1638,14661,14709,1686
lib\libdriver.a,73038,12050,1197,6239,85088,86285,7436
lib\libosi_lib.a,8092,282,0,74201,8374,8374,74201
..\..\components\newlib\armca5\libc.a,46176,2976,1534,47,49152,50686,1581
..\..\components\ql-kernel\libs\liboql_api_audio.a,13388,2264,80,179,15652,15732,259
..\..\components\ql-kernel\libs\liboql_api_power.a,3554,735,42,41,4289,4331,83
..\..\components\ql-kernel\libs\liboql_gnss.a,1822,514,0,496,2336,2336,496
..\..\components\ql-kernel\libs\libq_modem.a,864,285,0,32,1149,1149,32
..\..\components\ql-kernel\libs\libql_api_adc.a,500,45,2,0,545,547,2
..\..\components\ql-kernel\libs\libql_api_ble.a,7042,1159,0,16,8201,8201,16
..\..\components\ql-kernel\libs\libql_api_ble_gatt.a,16314,2454,180,75,18768,18948,255
..\..\components\ql-kernel\libs\libql_api_bt.a,2890,536,0,0,3426,3426,0
..\..\components\ql-kernel\libs\libql_api_bt_ble.a,2928,1045,0,162,3973,3973,162
..\..\components\ql-kernel\libs\libql_api_bt_hfp.a,3378,678,60,26,4056,4116,86
..\..\components\ql-kernel\libs\libql_api_bt_sdp.a,520,252,4,0,772,776,4
..\..\components\ql-kernel\libs\libql_api_bt_spp.a,832,250,16,14,1082,1098,30
..\..\components\ql-kernel\libs\libql_api_camera.a,2828,549,0,28,3377,3377,28
..\..\components\ql-kernel\libs\libql_api_common.a,1208,114,17,118,1322,1339,135
..\..\components\ql-kernel\libs\libql_api_datacall.a,15840,3126,62,1910,18966,19028,1972
..\..\components\ql-kernel\libs\libql_api_dev.a,2224,376,11,4,2600,2611,15
..\..\components\ql-kernel\libs\libql_api_fota.a,1952,750,2,0,2702,2704,2
..\..\components\ql-kernel\libs\libql_api_fs.a,11460,2223,188,24,13683,13871,212
..\..\components\ql-kernel\libs\libql_api_ftp.a,7408,800,12,0,8208,8220,12
..\..\components\ql-kernel\libs\libql_api_gpio.a,4132,478,0,256,4610,4610,256
..\..\components\ql-kernel\libs\libql_api_http.a,2816,188,0,4,3004,3004,4
..\..\components\ql-kernel\libs\libql_api_i2c.a,1472,102,36,0,1574,1610,36
..\..\components\ql-kernel\libs\libql_api_keypad.a,436,100,36,0,536,572,36
..\..\components\ql-kernel\libs\libql_api_lcd.a,4194,298,10,14,4492,4502,24
..\..\components\ql-kernel\libs\libql_api_mqtt.a,3608,283,0,24,3891,3891,24
..\..\components\ql-kernel\libs\libql_api_nw.a,21756,11316,1144,1676,33072,34216,2820
..\..\components\ql-kernel\libs\libql_api_osi.a,7228,997,12,56,8225,8237,68
..\..\components\ql-kernel\libs\libql_api_pwm.a,1416,535,96,5,1951,2047,101
..\..\components\ql-kernel\libs\libql_api_rtc.a,1578,307,76,28,1885,1961,104
..\..\components\ql-kernel\libs\libql_api_sdmmc.a,1646,191,0,8,1837,1837,8
..\..\components\ql-kernel\libs\libql_api_sim.a,10562,1737,96,102,12299,12395,198
..\..\components\ql-kernel\libs\libql_api_sms.a,9748,1132,8,24,10880,10888,32
..\..\components\ql-kernel\libs\libql_api_spi.a,3860,533,0,96,4393,4393,96
..\..\components\ql-kernel\libs\libql_api_spi6_ext_nor_flash.a,108,32,0,0,140,140,0
..\..\components\ql-kernel\libs\libql_api_spi_flash.a,292,76,0,20,368,368,20
..\..\components\ql-kernel\libs\libql_api_spi_nand_flash.a,1820,185,32,0,2005,2037,32
..\..\components\ql-kernel\libs\libql_api_spi_nor_flash.a,2440,286,8,13,2726,2734,21
..\..\components\ql-kernel\libs\libql_api_uart.a,5034,1385,52,192,6419,6471,244
..\..\components\ql-kernel\libs\libql_api_usb.a,844,225,0,32,1069,1069,32
..\..\components\ql-kernel\libs\libql_api_virt_at.a,1272,238,0,44,1510,1510,44
..\..\components\ql-kernel\libs\libql_api_voice_call.a,4874,281,80,0,5155,5235,80
..\..\components\ql-kernel\libs\libql_api_wifiscan.a,2028,467,28,8,2495,2523,36
..\..\components\ql-kernel\libs\libql_apptcpip.a,1478,0,4,5040,1478,1482,5044
..\..\components\ql-kernel\libs\libql_at.a,50954,11895,904,2160,62849,63753,3064
..\..\components\ql-kernel\libs\libql_at_table.a,10952,11755,0,3340,22707,22707,3340
